local_timestamp,eeg_timestamp,label
1768153376.4097323,2754631.2748665498,TrialEnd_Trial_40
1768153376.915722,2754631.78085555,Trial_40_Complete
1768153376.9333181,2754631.79845135,Trial_41_Start
1768153376.9334302,2754631.79856405,Posture_A_Flex_your_arm_after_the_sound
1768153376.9335015,2754631.79863455,PromptStart_Trial_41
1768153381.9231088,2754636.7882426498,PromptEnd_Trial_41
1768153381.9232373,2754636.78837115,FixationStart_Trial_41
1768153382.9238508,2754637.78898435,FixationEnd_Trial_41
1768153382.9239624,2754637.78909525,PostureStart_Trial_41
1768153385.930433,2754640.7955667498,PostureEnd_Trial_41
1768153385.9305782,2754640.79571175,TrialEnd_Trial_41
1768153386.4309053,2754641.29603955,Trial_41_Complete
1768153386.4477391,2754641.3128731498,Trial_42_Start
1768153386.447898,2754641.31303175,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153386.4480329,2754641.31316795,PromptStart_Trial_42
1768153391.4426892,2754646.30782305,PromptEnd_Trial_42
1768153391.4428394,2754646.30797495,FixationStart_Trial_42
1768153392.4442759,2754647.30941045,FixationEnd_Trial_42
1768153392.4444516,2754647.30959135,PostureStart_Trial_42
1768153395.4531443,2754650.31827815,PostureEnd_Trial_42
1768153395.453311,2754650.31844505,TrialEnd_Trial_42
1768153395.9556956,2754650.82082955,Trial_42_Complete
1768153395.9727535,2754650.83788735,Trial_43_Start
1768153395.9729147,2754650.83804855,Posture_A_Extend_your_arm_after_the_sound
1768153395.97303,2754650.83816315,PromptStart_Trial_43
1768153400.9645174,2754655.82965115,PromptEnd_Trial_43
1768153400.964694,2754655.82982775,FixationStart_Trial_43
1768153401.9654396,2754656.83057315,FixationEnd_Trial_43
1768153401.9655967,2754656.83073345,PostureStart_Trial_43
1768153404.9736774,2754659.83881075,PostureEnd_Trial_43
1768153404.9737754,2754659.83890825,TrialEnd_Trial_43
1768153405.4766667,2754660.3417999498,Trial_43_Complete
1768153405.4935193,2754660.35865245,Trial_44_Start
1768153405.493641,2754660.35877825,Posture_A_Rest_your_arm_extended_after_the_sound
1768153405.493784,2754660.3589179497,PromptStart_Trial_44
1768153410.4789305,2754665.34406435,PromptEnd_Trial_44
1768153410.4790847,2754665.34421855,FixationStart_Trial_44
1768153411.4912627,2754666.35639635,FixationEnd_Trial_44
1768153411.4914217,2754666.35655575,PostureStart_Trial_44
1768153414.4997115,2754669.36484525,PostureEnd_Trial_44
1768153414.499872,2754669.36500585,TrialEnd_Trial_44
1768153415.0121064,2754669.87724015,Trial_44_Complete
1768153415.0285556,2754669.89368905,Trial_45_Start
1768153415.028689,2754669.89382275,Posture_A_Flex_your_arm_after_the_sound
1768153415.0287483,2754669.89388115,PromptStart_Trial_45
1768153420.0208488,2754674.88598235,PromptEnd_Trial_45
1768153420.0209966,2754674.88612975,FixationStart_Trial_45
1768153421.0222647,2754675.88739875,FixationEnd_Trial_45
1768153421.0224261,2754675.88755985,PostureStart_Trial_45
1768153424.028071,2754678.89320455,PostureEnd_Trial_45
1768153424.0282135,2754678.89334745,TrialEnd_Trial_45
1768153424.541707,2754679.40684085,Trial_45_Complete
1768153424.5593739,2754679.42450755,Trial_46_Start
1768153424.5595841,2754679.42471845,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153424.5596962,2754679.4248292497,PromptStart_Trial_46
1768153429.5426548,2754684.40778925,PromptEnd_Trial_46
1768153429.5428119,2754684.40794595,FixationStart_Trial_46
1768153430.557999,2754685.42313255,FixationEnd_Trial_46
1768153430.5581453,2754685.42327905,PostureStart_Trial_46
1768153433.5719492,2754688.43708295,PostureEnd_Trial_46
1768153433.5721858,2754688.43731985,TrialEnd_Trial_46
1768153434.0873032,2754688.95243675,Trial_46_Complete
1768153434.1036434,2754688.96877705,Trial_47_Start
1768153434.1037548,2754688.96888855,Posture_A_Extend_your_arm_after_the_sound
1768153434.1038284,2754688.96896155,PromptStart_Trial_47
1768153439.091832,2754693.95696595,PromptEnd_Trial_47
1768153439.0920045,2754693.95713865,FixationStart_Trial_47
1768153440.0986805,2754694.96381395,FixationEnd_Trial_47
1768153440.0988092,2754694.96394305,PostureStart_Trial_47
1768153443.1108441,2754697.97597785,PostureEnd_Trial_47
1768153443.1109884,2754697.9761249498,TrialEnd_Trial_47
1768153443.6121113,2754698.47724515,Trial_47_Complete
1768153443.62828,2754698.49341355,Trial_48_Start
1768153443.6284456,2754698.49357975,Posture_A_Rest_your_arm_extended_after_the_sound
1768153443.6285717,2754698.4937047497,PromptStart_Trial_48
1768153448.6197531,2754703.48488725,PromptEnd_Trial_48
1768153448.6198843,2754703.48501825,FixationStart_Trial_48
1768153449.6323862,2754704.49752005,FixationEnd_Trial_48
1768153449.6325085,2754704.49764355,PostureStart_Trial_48
1768153452.635828,2754707.50096195,PostureEnd_Trial_48
1768153452.635958,2754707.50109185,TrialEnd_Trial_48
1768153453.143788,2754708.00892205,Trial_48_Complete
1768153453.1617424,2754708.02687625,Trial_49_Start
1768153453.1619012,2754708.02703525,Posture_A_Flex_your_arm_after_the_sound
1768153453.1620183,2754708.02715125,PromptStart_Trial_49
1768153458.1508064,2754713.01594025,PromptEnd_Trial_49
1768153458.1509686,2754713.0161026497,FixationStart_Trial_49
1768153459.1653154,2754714.03044885,FixationEnd_Trial_49
1768153459.1654468,2754714.03058055,PostureStart_Trial_49
1768153462.179697,2754717.04483105,PostureEnd_Trial_49
1768153462.1798491,2754717.04498435,TrialEnd_Trial_49
1768153462.6810892,2754717.5462232498,Trial_49_Complete
1768153462.6979287,2754717.56306285,Trial_50_Start
1768153462.6980855,2754717.56321855,Posture_A_Rest_your_arm_flexed_after_the_sound
